,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
102,IT3250047,26.55,26.55,1432.0388888888797,53.937434609750646,1432.0388888888797
116,NL2008003,175.21,175.21,1869.6054166666754,10.670654738123824,1869.6054166666754
64,FR3102002,1129.19,1129.19,10397.546527777875,9.20796901121855,10397.546527777875
0,BEMNZ0001,1099.399,1099.399,9301.6787499998,8.460694206561769,9301.6787499998
66,FR3102004,682.45,682.45,4326.5251388888855,6.3396954192818304,4326.5251388888855
28,DK00VA247,260.92,260.92,1271.569027777775,4.87340574803685,1271.569027777775
1,BEMNZ0005,19.25,19.25,77.57013888888882,4.029617604617601,77.57013888888882
83,FR5302008,457.28,457.28,1836.3548611111107,4.0158215122268865,1836.3548611111107
78,FR5300031,283.3697,283.3697,1134.1784722222226,4.002469114454447,1134.1784722222226
118,NL9802001,1444.75,1444.75,5526.105972222161,3.8249565476533385,5526.105972222161
30,DK00VA249,86.19,86.19,303.34875000000005,3.5195353289244697,303.34875000000005
133,SE0520170,540.16,540.16,1805.6765277777768,3.342854946271062,1805.6765277777768
42,ES5110020,264.7292,264.7292,800.2559722222221,3.022922942471862,800.2559722222221
32,DK00VA256,5.88,5.88,17.08777777777777,2.906084656084655,17.08777777777777
88,FR7200812,507.16,507.16,1372.0823611111114,2.7054230639465087,1372.0823611111114
24,DK00FX112,2690.79,2690.79,7024.1140277777295,2.6104281745426916,7024.114027777729
77,FR5300023,586.3676,586.3676,1507.8101388888845,2.571441769444431,1507.8101388888845
15,DE1714391,174.5,174.5,429.08527777777766,2.4589414199299577,429.08527777777766
99,HR5000032,762.9786,762.9786,1814.6227777777729,2.3783403332384063,1814.622777777773
103,IT3330009,23.8,23.8,55.92874999999999,2.349947478991596,55.92874999999999
150,UK0030399,1603.67,1603.67,3323.396527777765,2.0723693327042128,3323.396527777765
60,FR2502018,140.53,140.53,280.4322222222219,1.9955327846169637,280.4322222222219
113,NL1000001,2648.58,2648.58,5067.017083333297,1.913107054849503,5067.017083333297
