,MPA_Code,Area,Cover,Cover/Area
0,HR2000604,34.0046,3.9607,0.116475418032
1,HR3000001,6.731,0.77,0.114396077849
3,HR3000032,0.1847,0.005,0.0270709258257
4,HR3000033,1.5402,0.08,0.0519413063239
5,HR3000053,9.8852,0.3,0.0303483996277
6,HR3000065,1.0147,0.3,0.295653887849
7,HR3000004,3.2476,2.0,0.615839389087
8,HR3000005,6.6254,1.36,0.20527062517
9,HR3000016,5.4192,1.63,0.300782403307
10,HR3000074,11.1075,2.2,0.198064370921
11,HR3000018,9.8313,2.7957,0.284367275945
12,HR3000076,0.7891,0.24,0.304143961475
13,HR3000021,6.9299,0.6568,0.0947777024199
14,HR3000092,0.1629,0.1,0.61387354205
15,HR3000029,5.2448,2.0,0.381330079317
16,HR3000037,0.2308,0.005,0.0216637781629
17,HR3000054,9.9103,1.5,0.151357678375
18,HR3000094,4.885,1.45,0.296827021494
19,HR3000100,1.1306,0.34,0.300725278613
20,HR3000101,0.368,0.165,0.448369565217
21,HR3000062,12.8599,1.0,0.0777611023414
22,HR3000105,0.0452,0.03,0.663716814159
23,HR3000066,5.7191,1.7,0.29724956724
24,HR3000107,0.7757,0.05,0.0644579089854
25,HR3000069,4.3855,0.754,0.171930224604
26,HR3000111,0.2977,0.014,0.0470272085993
27,HR3000114,0.6649,0.1,0.150398556174
28,HR3000115,1.7337,0.5,0.288400530657
29,HR3000127,6.8407,0.69,0.10086687035
30,HR3000078,0.34,0.034,0.1
31,HR3000153,19.032,5.7,0.299495586381
32,HR3000164,0.2701,0.055,0.20362828582
33,HR3000106,0.0664,0.025,0.376506024096
34,HR3000280,0.0078,0.001,0.128205128205
35,HR3000108,1.5506,0.18,0.116084096479
36,HR3000112,0.8248,0.33,0.40009699321
37,HR3000116,2.8335,0.74,0.26116110817
38,HR3000119,4.926,1.0,0.203004466098
39,HR3000438,1.2957,0.6,0.463070155129
40,HR3000122,0.8894,0.18,0.202383629413
41,HR3000440,2.9809,0.9,0.30192223825
42,HR3000443,5.1528,1.0,0.194069243906
43,HR3000445,5.9601,1.5,0.251673629637
44,HR3000452,1.0789,0.3,0.278060988043
45,HR3000133,2.8566,0.85,0.297556535742
46,HR3000455,1.9083,0.67,0.35109783577
47,HR3000463,0.2177,0.04,0.183739090492
48,HR4000001,215.7114,3.18,0.0147419190641
49,HR3000437,0.5941,0.18,0.302979296415
50,HR3000451,2.3022,0.7,0.304056988967
51,HR3000456,2.7809,0.8,0.287676651444
52,HR4000028,67.7814,6.0,0.0885198594305
53,HR3000046,0.665,0.2,0.300751879699
54,HR3000051,1.3297,0.53,0.398586147251
55,HR3000058,3.7852,1.14,0.301172989538
56,HR3000473,2.0093,0.7,0.348380032847
57,HR5000038,195.7221,5.55,0.0283565320421
58,HR3000040,3.6823,1.1,0.298726339516
59,HR3000041,3.5528,1.0,0.281468137807
60,HR3000042,2.8504,0.4,0.140331181589
61,HR3000172,42.6283,10.0,0.234585944079
62,HR3000173,21.7547,2.34,0.107562963406
63,PLC990001,800.5025,480.3018,0.600000374765
64,HR3000002,1.7155,0.5,0.291460215681
65,HR3000017,3.5375,0.6449,0.182303886926
66,HR3000022,9.6409,1.5141,0.157049653041
67,HR3000035,0.3676,0.02,0.0544069640914
68,HR3000036,0.1532,0.015,0.097911227154
69,HR3000061,2.9468,0.23,0.0780507669336
70,HR3000071,0.379,0.11,0.290237467018
71,HR3000079,0.1669,0.05,0.299580587178
72,HR3000089,1.8998,0.47,0.247394462575
73,HR3000090,0.5661,0.14,0.247306129659
74,HR3000098,7.894,2.35,0.297694451482
75,HR3000099,15.0092,4.0,0.266503211364
76,HR3000102,0.1607,0.085,0.528935905414
77,HR3000124,0.0645,0.02,0.31007751938
78,HR3000143,2.2816,0.56,0.245441795231
79,HR3000003,8.8219,0.16,0.018136682574
80,HR3000007,75.0187,6.68,0.0890444649134
81,HR3000031,0.4922,0.09,0.182852498984
82,HR3000279,0.0078,0.001,0.128205128205
83,HR3000034,0.1925,0.015,0.0779220779221
84,HR3000068,0.4067,0.2,0.491762970248
85,HR3000070,6.63,0.46,0.0693815987934
86,HR3000095,19.966,1.97,0.0986677351498
87,HR3000097,29.7742,4.43,0.148786533307
88,HR3000103,0.0926,0.054,0.583153347732
89,HR3000104,0.0825,0.037,0.448484848485
90,HR3000439,0.473,0.07,0.14799154334
91,HR3000109,0.3754,0.07,0.186467767714
92,HR3000110,2.0019,0.4,0.199810180329
93,HR3000442,7.2944,1.8,0.246764641369
94,HR3000113,0.0501,0.015,0.299401197605
95,HR3000444,0.8569,0.17,0.198389543704
96,HR3000121,4.0544,0.8,0.197316495659
97,HR3000123,0.303,0.042,0.138613861386
98,HR3000125,0.163,0.046,0.282208588957
99,HR3000466,2.2243,0.67,0.301218360833
100,HR3000135,1.0524,0.32,0.304066894717
101,HR3000477,10.7833,10.78,0.999693971233
102,HR3000152,6.3903,0.6,0.0938923055256
103,HR4000025,2.4396,0.36,0.147565174619
104,HR3000170,13.7058,3.4,0.248070160078
105,HR3000419,580.4837,13.0,0.0223951163487
106,HR3000431,1.2081,0.17,0.140716828077
107,HR3000050,3.605,1.0,0.277392510402
108,HR3000060,5.2256,0.12,0.0229638701776
109,HR3000179,12.1795,3.6,0.295578636233
110,PLH220105,3.3568,0.7829,0.233228074357
111,HR3000461,0.099,0.017,0.171717171717
112,HR3000462,1.2496,0.173,0.138444302177
113,HR3000454,1.0097,0.15,0.148558977914
114,HR3000464,2.3491,0.7,0.297986462901
115,HR3000471,0.8682,0.28,0.322506334946
116,HR3000465,3.8744,0.57,0.147119553995
117,HR3000467,0.7122,0.56,0.786295984274
118,HR3000474,0.2777,0.16,0.576161325171
119,HR4000002,69.9928,0.53,0.00757220742705
120,HR4000015,57.1724,3.25,0.0568456108192
121,HR4000017,1.196,0.28,0.234113712375
122,FI1400054,8.03,0.08,0.00996264009963
123,HR5000037,52.8753,2.8,0.0529547822897
124,FI0100005,526.3,5.0,0.00950028500855
125,FI0100078,657.75,12.0,0.018244013683
126,FI0100106,74.68,2.2,0.0294590251741
127,FI0200047,2.39,0.07,0.0292887029289
128,FI0200071,1.56,0.02,0.0128205128205
129,FI0200073,53.5,0.5,0.00934579439252
130,FI0200074,76.02,2.3,0.0302551960011
131,FI0200193,3.76,0.003,0.000797872340426
132,FI0200065,5.71,0.17,0.0297723292469
133,FI0200075,32.94,0.3,0.00910746812386
134,FI0200076,31.51,0.6,0.0190415741035
135,HR3000470,0.2278,0.17,0.746268656716
136,HR3000472,0.5312,0.17,0.320030120482
137,FI0200077,30.73,1.5,0.0488122356004
138,FI0200172,3.64,0.29,0.0796703296703
139,FI0400002,44.52,13.0,0.29200359389
140,SI3000307,0.15,0.078,0.52
141,PLH220023,329.553,4.0206,0.0122001620377
142,MT0000102,24.5051,2.2398,0.0914013817532
143,MT0000105,155.1938,0.4501,0.00290024472627
144,FI0800130,1281.62,0.001,7.80262480298e-07
145,BG0000103,18.4297,2.0161,0.109394075867
146,BG0000146,12.4585,0.9592,0.0769916121523
147,FI1400035,7.59,3.8,0.500658761528
148,FI1400047,210.3,4.0,0.0190204469805
149,BG0000573,483.4011,120.6706,0.249628310734
150,BG0000574,39.2838,0.0321734,0.000818999180324
151,FI0100017,2.03,0.02,0.00985221674877
152,BG0001004,167.9459,7.4539,0.0443827446815
153,BG0001007,1535.412,350.0905,0.228010787984
154,BG0001500,6.6964,5.2226,0.779911594289
