,MPA_Code,timestamp,fishing_hours,Country,Callsign,GFW_gear
0,DK00AY176,2017-05-31 14:59:05 UTC,0.040694444444444436,Denmark,OUVG,trawlers
1,FR5400469,2017-04-02 10:51:15 UTC,0.13361111111111112,France,FHUS,trawlers
2,BG0001501,2017-07-02 02:59:24 UTC,0.06263888888888887,Bulgaria,LZH2853,trawlers
3,FR5400469,2017-05-16 19:10:12 UTC,0.10541666666666666,France,FGFA,trawlers
4,FR5400469,2017-05-12 08:40:44 UTC,0.7875,France,FHMH,set_gillnets
5,DK00VA259,2017-01-31 11:29:14 UTC,0.15569444444444444,Germany,DNPO,set_gillnets
6,FR5302015,2017-09-23 05:58:21 UTC,0.08222222222222222,Spain,EBVT,other_purse_seines
7,DE1209301,2017-05-24 09:50:27 UTC,0.04763888888888889,United Kingdom,MQNV9,pots_and_traps
8,FR2502020,2017-01-10 15:30:39 UTC,0.2652777777777777,France,FSMY,trawlers
9,FR5302015,2017-06-10 13:43:16 UTC,0.3456944444444445,France,FVDS,trawlers
10,FR5302015,2017-04-08 05:07:28 UTC,0.2673611111111112,France,FHVK,trawlers
11,DK00VA250,2017-05-24 14:39:45 UTC,0.2679166666666667,Denmark,XP4462,set_gillnets
12,FR9102012,2017-03-06 07:34:38 UTC,0.27375000000000005,France,FG7842,trawlers
13,FR5300018,2017-07-04 12:07:07 UTC,0.12833333333333333,France,FW3965,set_gillnets
14,FR2502021,2017-07-26 02:04:43 UTC,0.15402777777777776,France,FI6060,trawlers
15,DK00AY176,2017-05-30 17:03:30 UTC,0.09125,Denmark,OWAC,trawlers
16,FR5302015,2017-06-10 14:14:22 UTC,0.14555555555555555,France,FMIW,trawlers
17,FR5300009,2017-05-06 14:52:05 UTC,0.27555555555555555,France,FGE4956,set_gillnets
18,FR5302015,2017-04-13 08:59:06 UTC,1.6954166666666668,France,FVXX,trawlers
19,BEMNZ0001,2017-04-06 00:38:29 UTC,0.04625,France,FQQH,trawlers
20,FR5302015,2017-09-28 11:13:47 UTC,0.29152777777777783,France,FHGO,set_gillnets
21,FR5400469,2017-01-22 12:38:59 UTC,0.2958333333333333,France,FIFX,trawlers
22,DE2306301,2017-05-03 01:10:26 UTC,0.12763888888888889,Germany,DJIO,trawlers
23,FR5400469,2017-05-26 05:36:44 UTC,0.28222222222222226,France,FGQU,trawlers
24,UK0030386,2017-05-03 19:33:53 UTC,0.4097222222222223,United Kingdom,MWZQ2,pots_and_traps
25,PTCON0062,2017-04-07 01:52:02 UTC,0.2848611111111111,Portugal,CUOW5,set_gillnets
26,FR5300010,2017-01-13 01:41:10 UTC,0.2723611111111111,France,FIEP,trawlers
27,FR5300031,2017-05-20 19:57:25 UTC,0.12680555555555556,France,FOUS,trawlers
28,ES6200048,2017-06-28 00:24:07 UTC,0.20194444444444445,Spain,EA7820,trawlers
29,FR5302008,2017-02-08 14:35:54 UTC,0.2831944444444445,France,FORK,trawlers
30,FR5400469,2017-03-14 19:14:53 UTC,0.2640277777777777,France,FOHD,set_gillnets
31,FR5400469,2017-06-23 02:14:08 UTC,0.12472222222222222,France,FHMY,trawlers
32,FR2502021,2017-06-17 23:56:34 UTC,0.15125,France,FS7966,trawlers
33,BEMNZ0001,2017-05-30 17:42:53 UTC,0.1334722222222222,Netherlands,PDER,trawlers
34,BEMNZ0001,2017-02-09 07:12:41 UTC,0.07666666666666665,Netherlands,PDQJ,trawlers
35,BEMNZ0001,2017-03-12 11:38:27 UTC,0.11291666666666668,Belgium,OPDG,trawlers
36,UK0030369,2017-04-27 10:36:05 UTC,0.10375,United Kingdom,MJDL4,trawlers
37,FR5302015,2017-05-21 04:37:04 UTC,0.2645833333333333,France,FNTH,trawlers
38,BEMNZ0003,2017-06-14 03:09:57 UTC,0.09625,Netherlands,PDPH,trawlers
39,FR5302015,2017-09-28 14:30:03 UTC,0.06472222222222222,Spain,EDYX,other_purse_seines
40,SE0520189,2017-06-06 06:16:14 UTC,0.11819444444444445,Sweden,SKMQ,trawlers
41,FR5400469,2017-07-15 08:01:58 UTC,0.14319444444444446,France,FIFX,trawlers
42,UK0030384,2017-03-01 16:24:58 UTC,0.25583333333333336,United Kingdom,MJZH8,trawlers
43,FR5302015,2017-05-31 09:38:51 UTC,0.2925,France,FHDL,trawlers
44,ESZZ15002,2017-06-26 03:05:27 UTC,0.1275,Spain,EA6719,set_longlines
45,FR5302015,2017-05-03 02:31:11 UTC,0.4877777777777778,France,FGJI,trawlers
46,DE2306301,2017-06-11 10:31:54 UTC,0.1309722222222222,Germany,DLWR,trawlers
47,FR5302015,2017-03-23 06:11:36 UTC,0.2833333333333333,France,FHZV,set_longlines
48,FR2502020,2017-06-10 02:42:33 UTC,0.16416666666666668,France,FSMY,trawlers
49,FR5302015,2017-01-11 04:32:52 UTC,0.2836111111111111,France,FHDX,trawlers
50,BEMNZ0001,2017-06-06 02:41:41 UTC,0.08722222222222224,Netherlands,PDPH,trawlers
51,FR5300009,2017-05-14 06:17:17 UTC,0.275,France,FGE7009,dredge_fishing
52,FR5302008,2017-07-14 14:30:24 UTC,0.08,France,FJXR,trawlers
53,ESZZ15002,2017-06-27 22:42:18 UTC,0.04361111111111112,Spain,EA6719,set_longlines
54,FR5400469,2017-01-15 12:20:27 UTC,0.15125,France,FO4557,set_gillnets
55,FR5300031,2017-03-14 05:25:39 UTC,0.12347222222222222,France,FHGG,trawlers
56,ES6200048,2017-07-02 10:09:26 UTC,0.10291666666666666,Spain,EA26032,trawlers
