,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
56,FR3102004,682.45,586.9069999999999,2313.3663888889105,3.389796159262818,1989.4950944444627
136,UK0030368,67.09,67.09,206.87861111111116,3.0835983173514854,206.87861111111116
34,DK00VA310,2.99,0.06,8.378333333333334,2.802118171683389,0.16812709030100334
54,FR3102002,1129.19,793.2,2827.0983333333184,2.5036515850594836,1985.8964372691826
103,NL2008003,175.21,175.21,412.8711111111104,2.356435769140519,412.8711111111104
101,NL1000001,2648.58,1425.68,5143.693888888794,1.942057211369411,2768.752125105142
0,BEMNZ0001,1099.399,1099.399,2064.2490277777833,1.8776158862958612,2064.2490277777833
28,DK00VA249,86.19,2.0,138.4066666666669,1.6058320764203144,3.211664152840629
22,DK00FX112,2690.79,240.0,4024.7720833333424,1.4957585256870074,358.98204616488175
78,FR7200812,507.16,147.685,694.2376388888886,1.3688730161859937,202.1620113954285
74,FR5302008,457.28,137.184,601.3576388888898,1.3150753124757038,180.40729166666694
105,NL9802001,1444.75,1444.74,1896.4127777777721,1.3126234834938724,1896.3996515429374
69,FR5300031,283.3697,59.600100000000005,352.85222222222103,1.2452009591082638,74.21410168294845
68,FR5300023,586.3676,200.61,518.7626388888905,0.8847054968400205,177.48076972107654
30,DK00VA256,5.88,0.12,5.01138888888889,0.8522770219198792,0.1022732426303855
49,FR2500079,828.36,588.8953,595.5858333333343,0.7189939559289854,423.4121613749866
82,FR9102014,88.96,17.94,63.733055555555566,0.7164237360111912,12.852641824040772
123,SE0520170,540.16,24.134,376.83083333333445,0.6976281718996862,16.836558300627026
51,FR2502018,140.53,63.315,78.9093055555556,0.5615121721735972,35.5521431811713
18,DK00AY176,1347.6,400.0,750.804027777779,0.5571416056528488,222.8566422611395
104,NL4000017,835.34,812.6,450.52486111111097,0.539331123986773,438.2604713516517
55,FR3102003,291.56,49.565200000000004,152.43777777777777,0.5228350177588756,25.91442222222222
77,FR7200811,952.56,326.5376,478.54208333333327,0.5023747410486828,164.04424224265836
92,HR5000032,762.9786,190.0,382.9306944444445,0.5018891675919147,95.35894184246379
75,FR5400469,4560.27,755.6367,2222.051527777787,0.48726315059805386,368.19391914951643
1,BEMNZ0005,19.25,19.25,9.26597222222222,0.48134920634920625,9.26597222222222
80,FR9101414,61.72,55.5357,28.513472222222227,0.4619810794268021,25.656442632723056
121,SE0510127,132.923,50.0,60.082499999999996,0.45200981019086234,22.600490509543118
122,SE0510186,114.1,62.5,42.673750000000005,0.37400306748466267,23.375191717791417
16,DE2306301,2769.5622,435.0,1008.9130555555495,0.364286115529577,158.46446025536602
120,SE0510126,178.40200000000002,53.59,64.14861111111112,0.3595733854503375,19.26953772628359
96,IT6000011,21.3,0.2876,7.0775,0.3322769953051643,0.09556286384976526
130,UK0017072,652.2612,3.2613,206.90944444444432,0.3172186915984644,1.034545318910072
58,FR5202010,42.08,7.574400000000001,13.124444444444444,0.3118926911702577,2.3624000000000005
35,DK00VA340,63.25,16.0,19.50458333333333,0.30837285902503286,4.933965744400526
4,DE0916391,4521.01,47.285,1384.6358333333342,0.30626692560585667,14.481831577272931
81,FR9102012,137.31,10.986400000000001,41.925694444444446,0.3053360603338755,3.3545440932520902
140,UK0030384,74.6625,0.5226,21.78361111111111,0.2917610729765426,0.15247433673754116
64,FR5300011,557.9639,134.088,161.54416666666654,0.2895244059098923,38.82174853964563
3,BG0001001,980.9975999999999,47.49100000000001,283.83763888888956,0.289335711819162,13.740842290003826
20,DK00DY156,458.23,13.0,114.26513888888887,0.24936197736701846,3.2417057057712397
27,DK00VA248,13.8,0.55,2.932916666666667,0.212530193236715,0.11689160628019324
36,DK00VA347,2462.96,120.0,421.4095833333333,0.17109883365273218,20.531860038327864
6,DE1209301,5314.29,87.15,876.7058333333334,0.16497139473633043,14.377257051271199
52,FR2502020,455.66,423.76379999999995,63.84375000000002,0.14011269367510867,59.374687500000014
139,UK0030371,648.7685,409.9568,90.48222222222226,0.1394676563708353,57.175714109287256
73,FR5302007,414.98940000000005,220.2627,57.249305555555544,0.13795365750439778,30.386045076793916
93,IT3330009,23.8,0.2,3.144166666666667,0.1321078431372549,0.026421568627450986
97,IT6000012,25.53,0.3709,3.3137499999999998,0.12979827653740697,0.048142180767724245
132,UK0019808,1512.7398999999998,453.82199999999995,196.2877777777779,0.12975646228262896,58.886337226027244
125,UK0013036,63.2087,3.1604,7.6634722222222225,0.12124078207940081,0.3831693676837384
85,FR9301999,188.87,2.65,22.040416666666665,0.11669622844637403,0.3092450053828912
17,DK008X190,620.47,0.0,71.0973611111111,0.11458629927492239,0.0
42,ES7020017,694.8968,38.2507,73.28402777777782,0.10546030400165582,4.033930450276136
53,FR2502021,444.02,346.7568,45.00638888888893,0.10136117492205066,35.14767666021053
65,FR5300015,266.17,101.96,26.75652777777777,0.10052420549940928,10.24944799271977
45,ESZZ16002,3353.5359999999996,75.153,306.79097222222225,0.0914828325153576,6.875209312026671
63,FR5300010,912.28,383.1576,83.45500000000004,0.09147958959968436,35.05110000000002
25,DK00FX257,185.35,70.0,16.79430555555556,0.0906086083385787,6.342602583700509
40,ES6120032,236.4216,2.364182,20.953749999999992,0.08862874627360609,0.2095344866226266
79,FR7200813,77.9,3.72,6.582500000000001,0.08449935815147626,0.3143376123234917
99,ITA010024,542.81,37.996700000000004,44.70597222222223,0.0823602590634333,3.129418055555557
33,DK00VA301,92.83,0.0,7.4269444444444455,0.08000586496223684,0.0
94,IT5160002,148.18,4.0009,11.488333333333337,0.07752958114005491,0.31018810118324563
111,ROSCI0269,123.11,0.0,9.403750000000004,0.07638494029729513,0.0
67,FR5300018,771.1360000000001,231.666,54.75958333333328,0.07101157685976699,16.450967964794778
60,FR5202012,494.41,197.764,33.8498611111111,0.06846516274167412,13.53994444444444
119,SE0510050,80.08,0.005,5.232916666666666,0.06534611222111222,0.0003267305611055611
15,DE2104301,625.48,521.04,40.5376388888889,0.06481044779831313,33.768835720833074
100,ITB030080,268.99,2.6897,17.31611111111111,0.06437455337042682,0.173148236200437
5,DE1003301,1698.95,1623.7,106.9940277777778,0.06297656068617546,102.2550415861431
62,FR5300009,721.4036,106.36,43.89763888888889,0.060850318585724955,6.472039884777706
98,IT6000013,38.47,0.1634,2.0569444444444445,0.05346879242122289,0.00873680068162782
107,PLH990002,2430.5854999999997,607.8318,128.98111111111103,0.053065860514312724,32.25511751496363
11,DE1631392,618.3,38.58,30.04902777777778,0.048599430337664215,1.874966022427085
71,FR5300049,98.59700000000001,30.59,4.588333333333333,0.046536236734721466,1.4235434817151298
88,GR2230004,1355.279,103.85,58.42694444444443,0.04311063953949292,4.47703991617634
128,UK0013690,461.0995,17.9368,19.53458333333333,0.04236522341345703,0.7598965393224961
21,DK00FX010,669.86,120.0,22.989305555555553,0.03431956760450774,4.118348112540928
118,SE0430187,1151.276,438.13,39.4863888888889,0.034297934542967014,15.026954061310139
57,FR3102005,333.06,293.0928,9.893055555555554,0.029703523555982568,8.705888888888888
41,ES7010017,299.9309,120.77921,8.70625,0.029027519338620997,3.5059208539783673
8,DE1332301,279.92,4.46,7.850277777777776,0.028044719126099512,0.12507944730240383
83,FR9301592,1134.66,342.25,31.682916666666667,0.0279228285712607,9.556588078513974
87,FR9402015,946.12,9.4612,25.043611111111108,0.026469804159209305,0.2504361111111111
