,MPA_Code,Area,fishing_hours,fishing_hours_per_km2
2,BEMNZ0003,81.39699999999999,435.82277777777705,5.354285511478029
61,FR3102004,682.45,2313.3663888889105,3.389796159262818
144,UK0030368,67.09,206.87861111111116,3.0835983173514854
39,DK00VA310,2.99,8.378333333333334,2.802118171683389
59,FR3102002,1129.19,2827.0983333333184,2.5036515850594836
110,NL2008003,175.21,412.8711111111104,2.356435769140519
108,NL1000001,2648.58,5143.693888888794,1.942057211369411
0,BEMNZ0001,1099.399,2064.2490277777833,1.8776158862958612
1,BEMNZ0002,63.156000000000006,103.24222222222232,1.6347175600453214
33,DK00VA249,86.19,138.4066666666669,1.6058320764203144
27,DK00FX112,2690.79,4024.7720833333424,1.4957585256870074
83,FR7200812,507.16,694.2376388888886,1.3688730161859937
79,FR5302008,457.28,601.3576388888898,1.3150753124757038
112,NL9802001,1444.75,1896.4127777777721,1.3126234834938724
74,FR5300031,283.3697,352.85222222222103,1.2452009591082638
73,FR5300023,586.3676,518.7626388888905,0.8847054968400205
35,DK00VA256,5.88,5.01138888888889,0.8522770219198792
54,FR2500079,828.36,595.5858333333343,0.7189939559289854
87,FR9102014,88.96,63.733055555555566,0.7164237360111912
131,SE0520170,540.16,376.83083333333445,0.6976281718996862
56,FR2502018,140.53,78.9093055555556,0.5615121721735972
23,DK00AY176,1347.6,750.804027777779,0.5571416056528488
9,DE1011401,3135.13,1725.0987500000006,0.5502479163543459
111,NL4000017,835.34,450.52486111111097,0.539331123986773
60,FR3102003,291.56,152.43777777777777,0.5228350177588756
82,FR7200811,952.56,478.54208333333327,0.5023747410486828
98,HR5000032,762.9786,382.9306944444445,0.5018891675919147
80,FR5400469,4560.27,2222.051527777787,0.48726315059805386
4,BEMNZ0005,19.25,9.26597222222222,0.48134920634920625
85,FR9101414,61.72,28.513472222222227,0.4619810794268021
129,SE0510127,132.923,60.082499999999996,0.45200981019086234
130,SE0510186,114.1,42.673750000000005,0.37400306748466267
21,DE2306301,2769.5622,1008.9130555555495,0.364286115529577
128,SE0510126,178.40200000000002,64.14861111111112,0.3595733854503375
102,IT6000011,21.3,7.0775,0.3322769953051643
138,UK0017072,652.2612,206.90944444444432,0.3172186915984644
63,FR5202010,42.08,13.124444444444444,0.3118926911702577
40,DK00VA340,63.25,19.50458333333333,0.30837285902503286
7,DE0916391,4521.01,1384.6358333333342,0.30626692560585667
86,FR9102012,137.31,41.925694444444446,0.3053360603338755
148,UK0030384,74.6625,21.78361111111111,0.2917610729765426
69,FR5300011,557.9639,161.54416666666654,0.2895244059098923
6,BG0001001,980.9975999999999,283.83763888888956,0.289335711819162
25,DK00DY156,458.23,114.26513888888887,0.24936197736701846
32,DK00VA248,13.8,2.932916666666667,0.212530193236715
41,DK00VA347,2462.96,421.4095833333333,0.17109883365273218
10,DE1209301,5314.29,876.7058333333334,0.16497139473633043
57,FR2502020,455.66,63.84375000000002,0.14011269367510867
147,UK0030371,648.7685,90.48222222222226,0.1394676563708353
78,FR5302007,414.98940000000005,57.249305555555544,0.13795365750439778
99,IT3330009,23.8,3.144166666666667,0.1321078431372549
103,IT6000012,25.53,3.3137499999999998,0.12979827653740697
140,UK0019808,1512.7398999999998,196.2877777777779,0.12975646228262896
133,UK0013036,63.2087,7.6634722222222225,0.12124078207940081
90,FR9301999,188.87,22.040416666666665,0.11669622844637403
22,DK008X190,620.47,71.0973611111111,0.11458629927492239
47,ES7020017,694.8968,73.28402777777782,0.10546030400165582
58,FR2502021,444.02,45.00638888888893,0.10136117492205066
70,FR5300015,266.17,26.75652777777777,0.10052420549940928
50,ESZZ16002,3353.5359999999996,306.79097222222225,0.0914828325153576
68,FR5300010,912.28,83.45500000000004,0.09147958959968436
30,DK00FX257,185.35,16.79430555555556,0.0906086083385787
45,ES6120032,236.4216,20.953749999999992,0.08862874627360609
84,FR7200813,77.9,6.582500000000001,0.08449935815147626
105,ITA010024,542.81,44.70597222222223,0.0823602590634333
38,DK00VA301,92.83,7.4269444444444455,0.08000586496223684
106,ITA040013,127.29,10.18,0.07997486055463901
100,IT5160002,148.18,11.488333333333337,0.07752958114005491
119,ROSCI0269,123.11,9.403750000000004,0.07638494029729513
72,FR5300018,771.1360000000001,54.75958333333328,0.07101157685976699
65,FR5202012,494.41,33.8498611111111,0.06846516274167412
127,SE0510050,80.08,5.232916666666666,0.06534611222111222
20,DE2104301,625.48,40.5376388888889,0.06481044779831313
107,ITB030080,268.99,17.31611111111111,0.06437455337042682
8,DE1003301,1698.95,106.9940277777778,0.06297656068617546
67,FR5300009,721.4036,43.89763888888889,0.060850318585724955
116,PTZPE0015,1006.85,57.13124999999997,0.056742563440433005
3,BEMNZ0004,56.756,3.1991666666666667,0.056367021401555195
104,IT6000013,38.47,2.0569444444444445,0.05346879242122289
114,PLH990002,2430.5854999999997,128.98111111111103,0.053065860514312724
16,DE1631392,618.3,30.04902777777778,0.048599430337664215
76,FR5300049,98.59700000000001,4.588333333333333,0.046536236734721466
94,GR2230004,1355.279,58.42694444444443,0.04311063953949292
136,UK0013690,461.0995,19.53458333333333,0.04236522341345703
26,DK00FX010,669.86,22.989305555555553,0.03431956760450774
126,SE0430187,1151.276,39.4863888888889,0.034297934542967014
62,FR3102005,333.06,9.893055555555554,0.029703523555982568
46,ES7010017,299.9309,8.70625,0.029027519338620997
15,DE1552401,2004.17,56.82972222222223,0.028355739394473636
12,DE1332301,279.92,7.850277777777776,0.028044719126099512
88,FR9301592,1134.66,31.682916666666667,0.0279228285712607
92,FR9402015,946.12,25.043611111111108,0.026469804159209305
118,ROSCI0094,57.849,1.5279166666666666,0.026412153480037108
125,SE0430095,423.42199999999997,11.133194444444444,0.02629337739759494
37,DK00VA299,31.58,0.7897222222222222,0.025007036802476956
124,SE0420360,1342.408,31.744166666666672,0.023647182277419885
95,GR2530007,2365.7115,53.07625000000002,0.022435639341483536
132,UK0012712,958.5706,18.35388888888889,0.0191471435582198
18,DE1747301,604.06,10.48013888888889,0.017349499865723424
36,DK00VA261,319.1,5.282638888888888,0.016554806922246593
122,SE0220028,111.045,1.6243055555555554,0.014627453334734166
117,ROSCI0066,3362.002,46.41333333333332,0.013805266425580151
