,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
21,FR5302008,457.28,13.718399999999999,508.25902777777776,1.1114831783103958,15.247770833333332
18,FR5300023,586.3676,46.111999999999995,371.0197222222228,0.6327425359488191,29.177023817671945
11,FR2500079,828.36,0.0828,393.8033333333338,0.4754011943277486,0.03936321889033758
4,DE1714391,174.5,164.455,64.65388888888889,0.3705093919134034,60.93212204711876
6,DE2306301,2769.5622,1026.0,834.691388888887,0.3013802646818645,309.216151563593
1,BG0001001,980.9975999999999,1.3136215000000002,195.82819444444445,0.19962148168807392,0.26222707020731023
22,FR5400469,4560.27,605.6039,849.2318055555533,0.18622401865581492,112.77799197163426
2,DE0916391,4521.01,2912.7,536.4895833333346,0.1186658696471219,345.6380785211719
25,FR9301999,188.87,0.0316,22.040416666666673,0.11669622844637408,0.0036876008189054214
12,FR2502020,455.66,2.2783,49.928333333333356,0.10957365872214668,0.2496416666666668
13,FR2502021,444.02,29.785500000000003,45.00638888888891,0.1013611749220506,3.0190932756407385
8,ES0000020,485.3197,0.4702865869465411,43.61708333333334,0.08987288859968663,0.04226601403857333
37,UK0019808,1512.7398999999998,671.6564999999999,106.8090277777778,0.07060634004416609,47.42320723187444
31,ITB030080,268.99,0.1555,17.31611111111111,0.06437455337042682,0.010010243049101369
20,FR5300049,98.59700000000001,14.376,4.588333333333334,0.04653623673472148,0.6690049392983559
27,GR1110004,163.2912,50.481042443899995,7.563888888888889,0.04632147285884903,2.3383562374515194
30,IE0000764,169.3271,52.438404,5.048055555555553,0.02981244913280599,1.56331725185553
32,SE0510050,80.08,2.5,2.3243055555555556,0.02902479464979465,0.07256198662448662
23,FR9301592,1134.66,9.21,31.682916666666657,0.02792282857126069,0.257169251141311
15,FR5300010,912.28,38.78,24.47430555555555,0.026827624803301125,1.0403752898720176
26,FR9402015,946.12,0.0,25.04361111111111,0.02646980415920931,0.0
33,SE0520170,540.16,0.941,13.016527777777775,0.024097541057793572,0.02267578613538375
19,FR5300033,177.69830000000002,19.253,1.5486111111111112,0.00871483357528525,0.16778669082496694
16,FR5300011,557.9639,11.174000000000001,4.783333333333333,0.00857283658196047,0.0957928759668263
3,DE1631392,618.3,136.34200199999998,4.955972222222221,0.008015481517422322,1.0928467970793572
0,BG0000573,483.4011,0.6720734,3.5413888888888887,0.007325984340724274,0.004923599204217322
17,FR5300015,266.17,21.261,1.5476388888888888,0.005814475293567602,0.1236215592165408
14,FR5300009,721.4036,0.0,3.587361111111111,0.004972751884120222,0.0
35,UK0017072,652.2612,45.6583,2.848333333333334,0.004366859983904199,0.1993834032030931
10,FI0100005,526.3,11.0,1.3251388888888889,0.002517839424071611,0.027696233664787722
24,FR9301602,500.15,0.0,0.9441666666666666,0.0018877670032323636,0.0
9,ES5310005,307.5257,1.2608553700000003,0.53625,0.0017437567006594898,0.002198625000000001
36,UK0017075,1077.18,420.1002,1.2530555555555556,0.0011632740633464745,0.48869166666666664
5,DE2016301,137.5,127.34,0.1334722222222222,0.0009707070707070704,0.12360983838383835
34,UK0013116,1380.385,220.8616,1.3147222222222221,0.000952431547881368,0.21035555555555555
29,IE0000707,158.0214,36.511057,0.14763888888888888,0.0009342968034006082,0.0341121638438774
28,GR1430004,2491.5098000000003,2321.76958934,1.8944444444444444,0.000760360021238706,1.7653807742619443
7,EE0040002,2539.589,62.87,0.5290277777777777,0.0002083123599046057,0.013096598067202559
