,Factor,fishing_events,fishing_hours,fishing_hours_mpa
0,00,349324,111882.22500000554,1474.065694444444
1,10,291524,80592.67250000409,860.7784722222254
2,20,280474,76560.83263889416,807.8625000000012
3,30,272077,73501.55972222763,776.4395833333343
4,40,263698,70307.46791667369,723.3054166666649
5,45,259062,68528.96388889672,713.5669444444458
6,50,254060,66617.16916667439,703.591666666665
7,55,247886,64489.358194450884,685.8111111111111
8,60,240480,61947.20277778401,658.9781944444449
9,65,231233,58693.5934722285,648.5777777777772
10,70,219301,54811.17611111525,612.5075000000014
11,75,203231,49605.37847222735,579.3586111111116
12,80,177126,42103.19694444895,464.92430555555626
13,85,122150,27998.446666668795,300.5354166666669
14,87,76636,17133.92986111104,180.46374999999998
15,89,1610,330.1544444444446,0.0
